name,description,county,number
An Post Carlingford,Post office,Louth,(042) 937 3171
An Post Ballsgrove,Post office,Louth,(041) 984 7584
An Post Dublin Street Post Office Tesco Xtra,Post office,Louth,(042) 933 4001
Mulligans Londis,Post office,Louth,(042) 937 2262
Post Office,Post office,Mayo,(094) 902 1020
Kilkelly Post Office,Post office,Mayo,(094) 936 7001
An Post Breaffy,Post office,Mayo,(094) 902 2017
Post Office,Post office,Mayo,(094) 925 1112
Kilmaine Post Office,Post office,Mayo,(093) 33371
Post Office Ballyhaunis,Post office,Mayo,(094) 963 0018
Cloonfallagh Post Office,Post office,Mayo,(094) 938 1414
Kiltimagh Post Office,Post office,Mayo,(094) 938 1250
Post Office,Post office,Mayo,(094) 903 1001
Post Office,Post office,Mayo,(098) 21226
An Post Tulrahan,Post office,Mayo,(094) 938 0140
An Post Lahardane,Post office,Mayo,(096) 51001
An Post Crossmolina,Post office,Mayo,(096) 30012
Barnycarroll Post Office,Post office,Mayo,(094) 937 1507
An Post Ballina,Post office,Mayo,(096) 21498
An Post An Clochar,Post office,Mayo,(097) 85672
Post Office,Post office,Mayo,(094) 903 2001
An Post Newport,Post office,Mayo,(098) 41388
An Post Killala,Post office,Mayo,(096) 32022
Post Office,Post office,Mayo,(094) 954 0001
An Post Ballycastle,Post office,Mayo,(096) 43265
An Post Claremorris,Post office,Mayo,(094) 937 1025
An Post Ardnaree,Post office,Mayo,(096) 22292
An Post Foxford,Post office,Mayo,(094) 925 6101
An Post Westport,Post office,Mayo,(098) 27210
An Post Ballinrobe,Post office,Mayo,(094) 954 1013
Tourmakeady Post Office,Post office,Mayo,(094) 954 4774
Lissatava Post Office,Post office,Mayo,(094) 954 0011
An Post Kilmeena,Post office,Mayo,(098) 41252
An Post Barr Na Trá,Post office,Mayo,(097) 84111
An Post Béal an Mhuirthead,Post office,Mayo,(097) 81032
An Post Shrule,Post office,Mayo,(093) 31291
An Post Aghamore,Post office,Mayo,(094) 936 7019
An Post Gaoth Sáile,Post office,Mayo,(097) 86741
An Post Ballycroy,Post office,Mayo,(098) 49917
An Post DSU Sorting Office,Post office,Mayo,(098) 53400
An Post Gob An Choire,Post office,Mayo,(098) 45141
An Post Cnocán na Líne,Post office,Mayo,(097) 81238
An Post Ceathrú Thaidhg,Post office,Mayo,(097) 88955
An Post Bonniconlon,Post office,Mayo,(096) 45001
An Post Bangor Erris,Post office,Mayo,(097) 83461
An Post Clare island,Post office,Mayo,(098) 26987
An Post An Geata Mór,Post office,Mayo,(097) 81083
An Post Bun Na Habhna,Post office,Mayo,(097) 81057
An Post Aghagower,Post office,Mayo,(098) 25119
An Post Gleann na Muaidhe & Petrol Station,Post office,Mayo,(097) 87841
An Post,Post office,Meath,(01) 835 0181
An Post,Post office,Meath,(01) 825 5278
Post Office,Post office,Meath,(046) 955 7001
Post Office,Post office,Meath,(01) 802 0023
Post Office,Post office,Meath,(046) 902 8383
Post Office Clonee,Post office,Meath,(01) 825 5255
Blackcastle post Office,Post office,Meath,(046) 902 3000
An Post,Post office,Meath,(01) 825 6535
Dunshaughlin Post Office,Post office,Meath,(01) 825 9181
Johnstown Post Office,Post office,Meath,(046) 905 0917
Post Office,Post office,Meath,(046) 954 1001
Laytown Post Office,Post office,Meath,(041) 982 7498
Post Office,Post office,Meath,(046) 943 1268
Post Office,Post office,Meath,(046) 943 2138
An Post,Post office,Meath,(01) 825 8066
Hill of Down Post Office,Post office,Meath,(046) 954 6201
Kilmessan Post Office & Grocery,Post office,Meath,(046) 902 5201
An Post Lobinstown,Post office,Meath,(046) 905 3131
An Post Delivery Unit,Post office,Meath,(046) 903 0200
An Post Longwood,Post office,Meath,(046) 955 5013
An post,Post office,Meath,(046) 925 2671
Fordstown Post Office,Post office,Meath,(046) 943 4121
Kilskyre Post Office,Post office,Meath,(046) 924 3677
Bettystown Post Office,Post office,Meath,(041) 982 7111
An Post Kells,Post office,Meath,(046) 924 0598
An Post Moynalty,Post office,Meath,(046) 924 4300
An Post Drumconrath,Post office,Meath,(041) 685 4100
Duleek Post Office,Post office,Meath,(041) 982 3201
An Post Oldcastle,Post office,Meath,(049) 854 1101
Post Office,Post office,Monaghan,(042) 966 7400
An Post Monaghan,Post office,Monaghan,(047) 82286
An Post Carrickmacross Post Office,Post office,Monaghan,(042) 966 1869
An Post Scotstown,Post office,Monaghan,(047) 89201
Clones Post Office,Post office,Monaghan,(047) 51012
An Post Newbliss,Post office,Monaghan,(047) 54001
An Post Ballybay,Post office,Monaghan,(042) 974 1000
An Post DSU - Sorting Office,Post office,Monaghan,(047) 39202
An Post Killybrone,Post office,Monaghan,(047) 87339
An Post Latton,Post office,Monaghan,(042) 974 2207
An Post Latnamard,Post office,Monaghan,(042) 974 4898
An Post Tullamore Post Office,Post office,Offaly,(057) 934 1487
Killeigh Post Office,Post office,Offaly,(057) 934 4131
Castlejordan Post Office,Post office,Offaly,(046) 973 9002
Edenderry Post Office,Post office,Offaly,(046) 973 1327
Post Office,Post office,Offaly,(046) 973 0001
Clara Post Office,Post office,Offaly,(057) 933 1197
Post Office,Post office,Offaly,(057) 912 0062
An Post DAINGEAN,Post office,Offaly,(057) 935 3051
Post Office,Post office,Offaly,(057) 913 5001
An Post Ferbane,Post office,Offaly,(090) 645 4301
An Post Delivery Office,Mailing service,Offaly,(057) 931 7304
An Post Cloghan,Post office,Offaly,(090) 645 7455
An Post Kinnitty,Post office,Offaly,(057) 913 7001
An Post Shinrone,Post office,Offaly,(0505) 47101
An Post Banagher,Post office,Offaly,(057) 915 1363
Roscommon Post Office,Post office,Roscommon,(090) 662 6148
Post Office,Post office,Roscommon,(090) 666 1129
Post Office,Post office,Roscommon,(090) 643 7101
Brideswell Post Office,Post office,Roscommon,(090) 648 8153
Post Office,Post office,Roscommon,(094) 986 2728
An Post Roosky,Post office,Roscommon,(071) 963 8001
Fairymount Post Office and Grocery Store,Post office,Roscommon,(094) 987 0241
An Post Strokestown,Post office,Roscommon,(071) 963 3001
An Post Ballinlough,Post office,Roscommon,(094) 964 0001
An Post Frenchpark,Post office,Roscommon,(094) 987 0006
An Post Curraghboy,Post office,Roscommon,(090) 648 8100
An Post Sorting Office,Post office,Roscommon,(090) 662 6652
An Post Creggs,Post office,Roscommon,(090) 662 1110
Killoran's DayToday & Post Office,Post office,Roscommon,(071) 964 7004
An Post,Post office,Sligo,(071) 915 9273
An Post Maugheraboy,Post office,Sligo,(071) 916 2740
An Post Castle Street Sligo,Post office,Sligo,(071) 914 3078
An Post Rosses Point,Post office,Sligo,(071) 917 7339
An Post Riverstown,Post office,Sligo,(071) 916 5101
An Post Strandhill,Post office,Sligo,(071) 916 8230
An Post Grange,Post office,Sligo,(071) 916 3141
Easkey Post Office,Post office,Sligo,(096) 49001
An Post Ballisodare,Post office,Sligo,(071) 916 7257
An Post Collooney,Post office,Sligo,(071) 916 7101
An Post Dromore West,Post office,Sligo,(096) 47001
An Post Beltra,Post office,Sligo,(071) 916 6601
An Post Ballymote,Post office,Sligo,(071) 918 3345
An Post Ballygawley,Post office,Sligo,(071) 916 7022
An Post Aclare,Post office,Sligo,(071) 918 1764
An Post Cloonacool,Post office,Sligo,(071) 918 5037
An Post Tubbercurry,Post office,Sligo,(071) 918 5013
An Post DSU Sorting office,Shipping and mailing service,Sligo,(071) 917 4031
An Post Enniscrone,Post office,Sligo,(096) 36392
Post Office,Post office,Tipperary,(052) 915 3101
Post Office,Post office,Tipperary,(0504) 31058
Thurles Post Office,Post office,Tipperary,(0504) 21258
Post Office,Post office,Tipperary,(0504) 53201
Post Office,Post office,Tipperary,(067) 28020
Gortnahoe Post Office,Post office,Tipperary,(056) 883 4101
Post Office,Post office,Tipperary,(0504) 51101
Dolla Post Office,Post office,Tipperary,(067) 25160
Golden Post Office,Post office,Tipperary,(062) 72101
Irishtown Post Office,Post office,Tipperary,(052) 612 1916
An Post,Post office,Tipperary,(062) 51190
An Post Cloughjordan,Post office,Tipperary,(0505) 42101
An Post Borrisokane,Post office,Tipperary,(067) 27189
Ardcroney Post Office,Post office,Tipperary,(067) 38212
An Post Clonoulty,Post office,Tipperary,(0504) 42111
Post Office,Post office,Tipperary,(067) 26001
An Post Templemore,Post office,Tipperary,(0504) 31098
An Post Fethard,Post office,Tipperary,(052) 613 1217
Clonmel Main Post Office,Post office,Tipperary,(052) 612 2486
An Post Ardfinnan,Post office,Tipperary,(052) 613 1101
An Post Nenagh,Post office,Tipperary,(067) 31209
An Post Roscrea,Post office,Tipperary,(0505) 22864
An Post Delivery Services Unit,Post office,Tipperary,(0504) 27100
An Post Kilsheelan,Post office,Tipperary,(052) 613 3131
An Post Ballyporeen,Post office,Tipperary,(052) 746 7101
An Post Cashel,Post office,Tipperary,(062) 61032
An Post Terryglass,Post office,Tipperary,(067) 22037
An Post Cahir,Post office,Tipperary,(052) 744 1229
An Post Carrick on Suir,Post office,Tipperary,(051) 640 099
An Post Emly,Post office,Tipperary,(062) 57151
An Post Clogheen,Post office,Tipperary,(052) 746 5201
Barrack Street Post Office,Post office,Waterford,(051) 874 240
GPO,Post office,Waterford,(051) 317 312
Newtown Post Office,Post office,Waterford,(051) 857 413
Cleaboy Post Office,Post office,Waterford,(051) 376 958
An Post Gracedieu,Post office,Waterford,(051) 874 326
An Post Ferrybank,Post office,Waterford,(051) 832 040
Lisduggan Post Office,Post office,Waterford,(051) 355 573
Ballytruckle Post Office,Post office,Waterford,(051) 872 305
An Post Collection Point,Post office,Waterford,(051) 875 783
Tramore Post Office,Post office,Waterford,(051) 390 196
Post Office,Post office,Waterford,(051) 387 106
An Post Dunmore East,Post office,Waterford,(051) 383 110
Post Office,Post office,Westmeath,(044) 937 4111
Coole Post Office,Post office,Westmeath,(044) 966 1101
Mullingar Post Office,Post office,Westmeath,(044) 934 8360
Walderstown Post Office,Post office,Westmeath,(090) 648 5694
Post Office,Post office,Westmeath,(044) 937 3101
Raharney Post Office,Post office,Westmeath,(044) 937 4316
Post Office,Post office,Westmeath,(044) 935 6201
Castletown Geoghegan Post Office,Post office,Westmeath,(044) 922 6111
An Post Kilbeggan,Post office,Westmeath,(057) 933 2151
An Post Athlone Town Centre Post Office,Post office,Westmeath,(090) 647 2046
Rochfortbridge Post Office,Post office,Westmeath,(044) 922 2101
An Post Moate,Post office,Westmeath,(090) 648 1101
An Post Athlone,Post office,Westmeath,(090) 643 5000
An Post Baylough,Post office,Westmeath,(090) 649 2907
An Post - Kinnegad,Post office,Westmeath,(044) 937 5111
An Post Castlepollard,Post office,Westmeath,(044) 966 1111
An Post,Post office,Westmeath,(090) 648 5298
Post Office,Post office,Wexford,(053) 914 5314
Post Office,Post office,Wexford,(053) 912 2587
An Post Castlebridge,Post office,Wexford,(053) 915 9208
Ballyfad Post Office,Post office,Wexford,(0402) 37175
Post Office,Post office,Wexford,(053) 925 5158
Kilmuckridge Post Office,Post office,Wexford,(053) 913 0141
Post Office,Post office,Wexford,(053) 913 6137
Main Post Office,Post office,Wexford,(053) 923 3565
Bridgetown Post Office,Post office,Wexford,(053) 913 5140
Post Office,Post office,Wexford,(053) 913 8160
Post Office,Post office,Wexford,(0402) 37239
Post Office,Post office,Wexford,(053) 913 6100
An Post New Ross,Post office,Wexford,(051) 421 261
Post Office,Post office,Wexford,(053) 913 5266
Ferns Post Office,Post office,Wexford,(053) 936 6351
An Post Wellingtonbridge,Post office,Wexford,(051) 561 131
Ballycanew Post Office,Post office,Wexford,(053) 942 7101
Post Office Fethard On Sea,Post office,Wexford,(051) 397 101
An Post Murrintown,Post office,Wexford,(053) 913 9131
An Post Ramsgrange,Post office,Wexford,(051) 389 140
An Post Killinick,Post office,Wexford,(053) 915 8151
Bree Post Office,Post office,Wexford,(053) 924 7848
Post Office,Post office,Wexford,(051) 388 101
An Post Delivery Service Unit (Sorting Office),Post office,Wexford,(051) 448 660
An Post Taghmon,Post office,Wexford,(053) 913 4101
An Post Adamstown,Post office,Wexford,(053) 924 0900
An Post Rosslare,Post office,Wexford,(053) 913 2101
An Post Duncannon,Post office,Wexford,(051) 389 101
Newbawn post office,Post office,Wexford,(051) 428 325
An Post Enniscorthy Delivery Services Unit,Post office,Wexford,(053) 923 3226
Post Office,Post office,Wicklow,(01) 281 9141
Post Office,Post office,Wicklow,(0404) 67471
Little Bray Post Office,Post office,Wicklow,(01) 276 4705
Post Office,Post office,Wicklow,(01) 287 5025
Post Office,Post office,Wicklow,(053) 942 9101
Ashford Post Office,Post office,Wicklow,(0404) 40241
Greystones Post Office,Post office,Wicklow,(01) 287 4055
An Post,Post office,Wicklow,(0402) 38181
An Post Dunlavin,Post office,Wicklow,(045) 401 261
Post,Post office,Wicklow,(01) 282 8926
Kilbride Post Office,Post office,Wicklow,(0404) 48151
Bray Post Office,Post office,Wicklow,(01) 286 2554
Aughrim Post Office,Post office,Wicklow,(0402) 36995
Blessington Post Office,Post office,Wicklow,(045) 865 111
An Post,Post office,Wicklow,(0402) 32416
An Post Avoca,Post office,Wicklow,(0402) 35211
Baltinglass Post Office,Post office,Wicklow,(059) 648 1109
